"customer_id","payment_date","previous_payment_date"
1,"2007-02-14 23:22:38.996577",NULL
1,"2007-02-15 16:31:19.996577","2007-02-14 23:22:38.996577"
1,"2007-02-15 19:37:12.996577","2007-02-15 16:31:19.996577"
1,"2007-02-16 13:47:23.996577","2007-02-15 19:37:12.996577"
1,"2007-02-18 07:10:14.996577","2007-02-16 13:47:23.996577"
1,"2007-02-18 12:02:25.996577","2007-02-18 07:10:14.996577"
1,"2007-02-21 04:53:11.996577","2007-02-18 12:02:25.996577"
1,"2007-03-01 07:19:30.996577","2007-02-21 04:53:11.996577"
1,"2007-03-02 14:05:18.996577","2007-03-01 07:19:30.996577"
1,"2007-03-02 16:30:04.996577","2007-03-02 14:05:18.996577"
1,"2007-03-17 11:06:20.996577","2007-03-02 16:30:04.996577"
1,"2007-03-18 02:25:55.996577","2007-03-17 11:06:20.996577"
1,"2007-03-19 08:23:42.996577","2007-03-18 02:25:55.996577"
1,"2007-03-19 12:25:20.996577","2007-03-19 08:23:42.996577"
1,"2007-03-21 22:02:23.996577","2007-03-19 12:25:20.996577"
1,"2007-03-21 23:56:23.996577","2007-03-21 22:02:23.996577"
1,"2007-03-22 18:10:03.996577","2007-03-21 23:56:23.996577"
1,"2007-03-22 18:32:12.996577","2007-03-22 18:10:03.996577"
1,"2007-04-08 01:45:31.996577","2007-03-22 18:32:12.996577"
1,"2007-04-08 06:02:22.996577","2007-04-08 01:45:31.996577"
1,"2007-04-09 11:52:33.996577","2007-04-08 06:02:22.996577"
1,"2007-04-09 15:06:27.996577","2007-04-09 11:52:33.996577"
1,"2007-04-11 08:42:12.996577","2007-04-09 15:06:27.996577"
1,"2007-04-27 09:59:48.996577","2007-04-11 08:42:12.996577"
1,"2007-04-28 07:33:11.996577","2007-04-27 09:59:48.996577"
1,"2007-04-28 14:46:49.996577","2007-04-28 07:33:11.996577"
1,"2007-04-28 16:02:05.996577","2007-04-28 14:46:49.996577"
1,"2007-04-28 17:48:33.996577","2007-04-28 16:02:05.996577"
1,"2007-04-29 02:27:15.996577","2007-04-28 17:48:33.996577"
1,"2007-04-30 01:10:44.996577","2007-04-29 02:27:15.996577"
2,"2007-02-17 19:23:24.996577",NULL
2,"2007-03-01 08:13:52.996577","2007-02-17 19:23:24.996577"
2,"2007-03-02 00:39:22.996577","2007-03-01 08:13:52.996577"
2,"2007-03-02 06:10:07.996577","2007-03-02 00:39:22.996577"
2,"2007-03-02 09:12:14.996577","2007-03-02 06:10:07.996577"
2,"2007-03-02 12:13:19.996577","2007-03-02 09:12:14.996577"
2,"2007-03-17 02:20:44.996577","2007-03-02 12:13:19.996577"
2,"2007-03-19 04:54:30.996577","2007-03-17 02:20:44.996577"
2,"2007-03-21 11:52:58.996577","2007-03-19 04:54:30.996577"
2,"2007-03-21 21:10:22.996577","2007-03-21 11:52:58.996577"
2,"2007-03-22 12:21:30.996577","2007-03-21 21:10:22.996577"
2,"2007-03-23 16:08:01.996577","2007-03-22 12:21:30.996577"
2,"2007-04-10 04:59:50.996577","2007-03-23 16:08:01.996577"
2,"2007-04-10 11:07:22.996577","2007-04-10 04:59:50.996577"
2,"2007-04-27 12:59:08.996577","2007-04-10 11:07:22.996577"
2,"2007-04-27 13:51:28.996577","2007-04-27 12:59:08.996577"
2,"2007-04-27 17:08:46.996577","2007-04-27 13:51:28.996577"
2,"2007-04-28 22:41:25.996577","2007-04-27 17:08:46.996577"
2,"2007-04-29 11:25:25.996577","2007-04-28 22:41:25.996577"
2,"2007-04-29 15:42:55.996577","2007-04-29 11:25:25.996577"
2,"2007-04-30 04:34:36.996577","2007-04-29 15:42:55.996577"
2,"2007-04-30 12:16:09.996577","2007-04-30 04:34:36.996577"
2,"2007-04-30 12:42:37.996577","2007-04-30 12:16:09.996577"
2,"2007-04-30 14:49:39.996577","2007-04-30 12:42:37.996577"
2,"2007-04-30 20:27:22.996577","2007-04-30 14:49:39.996577"
2,"2007-04-30 21:08:19.996577","2007-04-30 20:27:22.996577"
3,"2007-02-16 00:02:31.996577",NULL
3,"2007-02-16 13:47:36.996577","2007-02-16 00:02:31.996577"
3,"2007-02-17 03:43:41.996577","2007-02-16 13:47:36.996577"
3,"2007-02-19 07:03:19.996577","2007-02-17 03:43:41.996577"
3,"2007-03-01 12:48:14.996577","2007-02-19 07:03:19.996577"
3,"2007-03-18 13:18:21.996577","2007-03-01 12:48:14.996577"
3,"2007-03-19 20:46:33.996577","2007-03-18 13:18:21.996577"
3,"2007-03-20 04:42:38.996577","2007-03-19 20:46:33.996577"
3,"2007-03-21 19:19:14.996577","2007-03-20 04:42:38.996577"
3,"2007-03-22 08:05:53.996577","2007-03-21 19:19:14.996577"
3,"2007-03-23 05:38:40.996577","2007-03-22 08:05:53.996577"
3,"2007-04-07 08:51:51.996577","2007-03-23 05:38:40.996577"
3,"2007-04-08 11:15:37.996577","2007-04-07 08:51:51.996577"
3,"2007-04-27 03:23:08.996577","2007-04-08 11:15:37.996577"
3,"2007-04-27 18:51:38.996577","2007-04-27 03:23:08.996577"
3,"2007-04-28 02:27:47.996577","2007-04-27 18:51:38.996577"
3,"2007-04-28 03:14:56.996577","2007-04-28 02:27:47.996577"
3,"2007-04-28 10:15:11.996577","2007-04-28 03:14:56.996577"
3,"2007-04-28 16:45:40.996577","2007-04-28 10:15:11.996577"
3,"2007-04-29 09:35:30.996577","2007-04-28 16:45:40.996577"
3,"2007-04-30 01:56:24.996577","2007-04-29 09:35:30.996577"
3,"2007-04-30 10:01:24.996577","2007-04-30 01:56:24.996577"
3,"2007-04-30 11:59:46.996577","2007-04-30 10:01:24.996577"
3,"2007-04-30 20:14:12.996577","2007-04-30 11:59:46.996577"
4,"2007-02-15 07:59:54.996577",NULL
4,"2007-02-16 06:37:06.996577","2007-02-15 07:59:54.996577"
4,"2007-02-16 12:29:53.996577","2007-02-16 06:37:06.996577"
4,"2007-02-16 14:20:18.996577","2007-02-16 12:29:53.996577"
4,"2007-02-17 12:59:38.996577","2007-02-16 14:20:18.996577"
4,"2007-02-19 08:07:27.996577","2007-02-17 12:59:38.996577"
4,"2007-03-02 05:38:00.996577","2007-02-19 08:07:27.996577"
4,"2007-03-02 06:48:57.996577","2007-03-02 05:38:00.996577"
4,"2007-03-16 22:56:27.996577","2007-03-02 06:48:57.996577"
4,"2007-03-17 22:42:29.996577","2007-03-16 22:56:27.996577"
4,"2007-03-18 03:43:10.996577","2007-03-17 22:42:29.996577"
4,"2007-03-19 00:47:39.996577","2007-03-18 03:43:10.996577"
4,"2007-03-20 08:00:30.996577","2007-03-19 00:47:39.996577"
4,"2007-03-20 11:24:06.996577","2007-03-20 08:00:30.996577"
4,"2007-03-21 03:22:03.996577","2007-03-20 11:24:06.996577"
4,"2007-03-22 12:26:49.996577","2007-03-21 03:22:03.996577"
4,"2007-03-23 06:11:26.996577","2007-03-22 12:26:49.996577"
4,"2007-04-28 00:38:36.996577","2007-03-23 06:11:26.996577"
4,"2007-04-28 03:06:25.996577","2007-04-28 00:38:36.996577"
4,"2007-04-29 17:13:23.996577","2007-04-28 03:06:25.996577"
